Player,G,PTS/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,TS%,PER,WS/36,BPM,VORP,On_Off,TWR,VPS
Kevin Durant,81,29.9,6.9,5.1,1.2,0.7,3.3,0.635,29.8,0.222,10.2,9.6,6.0,0.95,0.986
LeBron James,77,25.9,6.6,6.0,1.5,0.3,3.3,0.649,29.3,0.197,8.8,7.9,7.0,0.87,0.713
Blake Griffin,80,24.2,9.6,3.9,1.2,0.6,2.8,0.583,23.9,0.153,4.5,4.7,8.2,0.92,0.347
Joakim Noah,80,12.8,11.5,5.5,1.2,1.5,2.4,0.531,20.0,0.143,5.3,5.2,6.6,0.77,0.258
James Harden,73,24.1,4.5,5.8,1.5,0.4,3.4,0.618,23.5,0.166,5.6,5.3,7.6,0.87,0.068
Stephen Curry,78,23.7,4.2,8.4,1.6,0.2,3.7,0.61,24.1,0.169,7.4,6.7,15.2,0.82,0.053
Chris Paul,62,19.6,4.4,11.0,2.6,0.1,2.4,0.58,25.9,0.202,8.6,5.8,9.1,0.92,0.036
Al Jefferson,73,22.4,11.1,2.2,0.9,1.1,1.7,0.532,22.7,0.11,2.7,3.0,1.7,0.69,0.027
Paul George,80,21.6,6.8,3.5,1.9,0.3,2.8,0.555,20.1,0.134,4.9,5.0,6.3,0.9,0.026
LaMarcus Aldridge,69,23.1,11.0,2.6,0.9,1.0,1.8,0.507,21.8,0.108,2.3,2.7,8.8,0.87,0.021
